tranche_horaire;consommation;gaz cogénérations;hydraulique;éolien onshore;solaire;biomasse;annee
249;0.000156048;0.663268717;0.522347418;0.089158062;0.010789258;0.527;2018
250;0.000155547;0.659993316;0.522394366;0.08121525;0.079277589;0.528;2018
251;0.000154574;0.65625;0.523849765;0.074861001;0.172862672;0.5275;2018
252;0.000154944;0.658355615;0.484694836;0.073140058;0.234431805;0.532;2018
253;0.000153701;0.661397059;0.450985915;0.073868149;0.246628357;0.536;2018
254;0.000150429;0.66046123;0.441877934;0.079692878;0.222117978;0.5345;2018
255;0.000145985;0.659525401;0.415962441;0.080288589;0.16172159;0.5295;2018
256;0.000143741;0.662800802;0.431408451;0.08101668;0.092646886;0.5275;2018
257;0.000144946;0.663736631;0.463286385;0.08776807;0.021226692;0.5355;2018
258;0.000154588;0.674264706;0.587183099;0.093328038;-0.000117275;0.515;2018
259;0.000162601;0.679411765;0.643004695;0.095181361;-0.000117275;0.532;2018
260;0.000156938;0.679177807;0.595586854;0.102396082;-0.000117275;0.5355;2018
261;0.000147108;0.680113636;0.461877934;0.105573206;-0.000117275;0.538;2018
262;0.000139859;0.675668449;0.409671362;0.111000794;-0.000117275;0.5425;2018
263;0.000145541;0.67309492;0.428638498;0.109875563;-0.000117275;0.5405;2018
264;0.000142929;0.667713904;0.397276995;0.109346042;-0.000234549;0.5445;2018
265;0.000133514;0.664906417;0.372300469;0.109346042;-0.000234549;0.5425;2018
266;0.000131203;0.66467246;0.362723005;0.104249404;-0.000234549;0.5495;2018
267;0.000126711;0.66046123;0.347183099;0.102925602;-0.000234549;0.5475;2018
268;0.000123102;0.655080214;0.345492958;0.098292295;-0.000234549;0.544;2018
269;0.000123558;0.655314171;0.356478873;0.090945195;-0.000234549;0.55;2018
270;0.000131552;0.659759358;0.387370892;0.084259995;-0.000234549;0.552;2018
271;0.000147432;0.663970588;0.504647887;0.085054276;-0.000234549;0.5515;2018
272;0.000159373;0.674966578;0.595492958;0.081678581;-0.000234549;0.5475;2018
